Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14
2025-12-01,1397.0184326171875,1431.6961951289616,1397.0184326171875,1431.6961951289616,30559208,1414.852685546875,1426.4945678710938,46.74824468479304
2025-12-02,1416.834228515625,1426.7421601835663,1406.9262968476835,1416.834228515625,23544477,1417.825048828125,1422.7790893554688,50.1720839713516
2025-12-03,1436.6502685546875,1436.6502685546875,1421.7883692248115,1426.7423356681036,20301540,1419.8066650390624,1422.28369140625,53.39884051656283
2025-12-04,1431.6962890625,1436.6502554606402,1416.8343898680796,1431.6962890625,20696944,1421.78828125,1421.2928955078125,52.48379908891646
2025-12-05,1446.5582275390625,1446.5582275390625,1426.7423614083905,1431.6963279410584,21072604,1425.7514892578124,1421.2928955078125,54.97641270312852
2025-12-08,1481.2359619140625,1481.2359619140625,1446.5581969194188,1451.5121633472252,24257260,1442.5949951171874,1422.28369140625,60.22010101036531
2025-12-09,1466.3740234375,1486.1898886190877,1466.3740234375,1481.2359223236908,24235825,1452.5029541015624,1423.0267822265625,57.148189663976936
2025-12-10,1491.143798828125,1491.143798828125,1471.327934391871,1476.2819005009344,23319221,1463.40166015625,1424.5129699707031,60.74254214637322
2025-12-11,1461.3209228515625,1506.0552368164062,1456.3504435221355,1501.0847574869792,28924982,1469.3265869140625,1425.2511047363282,54.7842802619137
2025-12-12,1471.261962890625,1476.2324424949852,1461.3210036819046,1466.2914832862648,22107664,1474.267333984375,1427.9724914550782,56.322270785879745
2025-12-15,1441.4390869140625,1446.4095665241111,1436.468607304014,1441.4390869140625,25889058,1466.307958984375,1428.4596313476563,50.74571593546505
2025-12-16,1426.5274658203125,1436.4684237702797,1416.586507870345,1426.5274658203125,32168064,1458.3386474609374,1430.1827758789063,48.17717117408475
2025-12-17,1421.5570068359375,1436.4684439705802,1416.5865277910566,1426.5274858808184,30535812,1444.4212890625,1432.1528015136719,47.31743487103985
2025-12-18,1421.5570068359375,1426.5274858808184,1406.6455697012948,1411.6160487461757,30534136,1436.468505859375,1431.1504455566405,47.31743487103985
2025-12-19,1421.5570068359375,1446.409402060342,1421.5570068359375,1446.409402060342,38763280,1426.5275146484375,1433.615869140625,47.31743487103984
2025-12-22,1456.3504638671875,1461.3209432660517,1446.4095050694593,1456.3504638671875,22661665,1429.5097900390624,1438.316357421875,54.42761870505525
2025-12-23,1481.202880859375,1481.202880859375,1461.3209629954908,1466.2914424614619,20739075,1440.444873046875,1442.277880859375,58.7138359941825
2025-12-24,1486.17333984375,1491.1438192412206,1476.2323810488085,1486.17333984375,12987261,1453.3681396484376,1445.2494384765625,59.53358285335314
2025-12-26,1501.0848388671875,1501.0848388671875,1486.1734000704935,1496.1143592682895,18823612,1469.2737060546874,1449.2142700195313,61.972950984890105
2025-12-29,1520.9666748046875,1520.9666748046875,1501.0847574869792,1506.0552368164062,21124648,1489.1556396484375,1453.9254943847657,65.00225280683046
2025-12-30,1511.0257568359375,1520.9667157624897,1501.0847979093853,1506.0552773726613,20325400,1500.0906982421875,1459.6258605957032,62.32867691021119
2025-12-31,1540.8486328125,1540.8486328125,1506.0552765877017,1511.0257560483872,29695967,1512.0198486328125,1465.8265808105468,66.74740580590014
2026-01-02,1575.6419677734375,1575.6419677734375,1535.878132624581,1545.8190914117952,37512761,1529.91357421875,1472.7761657714843,71.01849496339734
2026-01-05,1660.14013671875,1684.9925339750187,1615.4058216574663,1620.37630110872,66871820,1561.7246337890624,1484.1983581542968,78.3061230459788
2026-01-06,1694.9334716796875,1694.9334716796875,1635.2877190106076,1635.2877190106076,46751692,1596.5179931640625,1496.617120361328,80.48244940896056
